product_url,product_name,product_price,product_ingredients,product_nutrients,product_base_unit_price,breadcrumb,product_image
https://www.plus.nl/product/plus-cola-zero-fles-1500-ml-356467,PLUS Cola zero,1.19,"Ingrediënten :Koolzuurhoudend water, kleurstof: karamel, zoetstof: cyclamaat/acesulfaam-K/aspartaam*, voedingszuur: E338, aroma (cafeïne), natuurlijk aroma, conserveermiddel: E202, zuurteregelaar: E331.
*bevat een bron van fenylalanine","[{'Energie KJ': '5.0'}, {'Energie KC': '1.0'}, {'Vet': '0.0'}, {'Waarvan verzadigd vet': '0.0'}, {'Waarvan enkelvoudig onverzadigd vet': '0.0'}, {'Waarvan meervoudig onverzadigd vet': '0.0'}, {'Koolhydraten': '0.2'}, {'Waarvan suikers': '0.0'}, {'Polyolen': '0.0'}, {'Zetmeel': '0.0'}, {'Vezels': '0.0'}, {'Eiwitten': '0.0'}, {'Zout': '0.0'}, {'Natrium': '0.0'}, {'Trans': '0.0'}, {'Toegevoegde suikers': '0.0'}]",0.79,"Frisdrank, sappen, koffie, thee > Frisdrank > Cola",https://images.ctfassets.net/s0lodsnpsezb/356467_M/37af992dcacd18a454a2678a08cbc548/356467.png
https://www.plus.nl/product/lipton-ice-tea-sparkling-fles-1500-ml-358674,Lipton Ice tea sparkling,2.89,"Ingrediënten: Koolzuurhoudend water, suiker, fructose, thee-extract⁽¹⁾ (0,3%), voedingszuren (citroenzuur, appelzuur), zuurteregelaar (trinatriumcitraat), citroensap van geconcentreerd sap (0,1%), aroma's, antioxidant (ascorbinezuur), zoetstof (steviolglycosiden van Stevia). ⁽¹⁾Rainforest Alliance Certified. More information on ra.org.","[{'Energie KJ': '85.0'}, {'Energie KC': '20.0'}, {'Vet': '0.0'}, {'Waarvan verzadigd vet': '0.0'}, {'Koolhydraten': '4.7'}, {'Waarvan suikers': '4.5'}, {'Eiwitten': '0.0'}, {'Zout': '0.11'}]",1.93,"Frisdrank, sappen, koffie, thee > Frisdrank > IJsthee",https://images.ctfassets.net/s0lodsnpsezb/358674_M/3a13a41b6f90ec01f55258f84ba3213a/358674.png
https://www.plus.nl/product/plus-sinas-zero-fles-1500-ml-356490,PLUS Sinas zero,1.19,"Ingrediënten :Koolzuurhoudend water, 6% sinaasappelsap uit geconcentreerd sap, voedingszuur: citroenzuur/appelzuur, zuurteregelaar: natriumcitraten, natuurlijk aroma, zoetstof: aspartaam*/acesulfaam-K, conserveermiddel: kaliumsorbaat, antioxidant: ascorbinezuur, wortelsapconcentraat, stabilisator: guarpitmeel, kleurstof: carotenen.
*bevat een bron van fenylalanine","[{'Energie KJ': '12.0'}, {'Energie KC': '3.0'}, {'Vet': '0.0'}, {'Waarvan verzadigd vet': '0.0'}, {'Waarvan enkelvoudig onverzadigd vet': '0.0'}, {'Waarvan meervoudig onverzadigd vet': '0.0'}, {'Koolhydraten': '0.5'}, {'Waarvan suikers': '0.5'}, {'Polyolen': '0.0'}, {'Zetmeel': '0.0'}, {'Vezels': '0.0'}, {'Eiwitten': '0.0'}, {'Zout': '0.0'}, {'Natrium': '0.0'}, {'Trans': '0.0'}, {'Toegevoegde suikers': '0.0'}]",0.79,"Frisdrank, sappen, koffie, thee > Frisdrank > Sinas, cassis",https://images.ctfassets.net/s0lodsnpsezb/356490_M/9cf84acac18f0f9012b6c97fc7a66683/356490.png
https://www.plus.nl/product/spa-fruit-still-strawberry-watermelon-fles-1250-ml-932918,Spa Fruit still strawberry watermelon,2.45,"natuurlijk mineraalwater 86,5% (bron: reine), vruchtensappen uit concentraat 10,5% (appel, citroen, sinaasappel, acerola, aardbei 1,0%, watermeloen 1,0%), suiker, natuurlijke aroma's, concentraten (zwarte bes, wortel), zoetstof (steviolglycosiden uit stevia), stabilisators (pectine, johannesbroodpitmeel).","[{'Energie KJ': '52.0'}, {'Energie KC': '12.0'}, {'Vet': '0.0'}, {'Waarvan verzadigd vet': '0.0'}, {'Koolhydraten': '2.7'}, {'Waarvan suikers': '2.7'}, {'Eiwitten': '0.0'}, {'Zout': '0.0'}]",1.96,"Frisdrank, sappen, koffie, thee > Frisdrank > Overige frisdrank",https://images.ctfassets.net/s0lodsnpsezb/932918_M/743626477a188a2182c9ec89e2de1b96/932918.png
https://www.plus.nl/product/plus-sinas-fles-1500-ml-831672,PLUS Sinas,1.19,"Ingrediënten :Koolzuurhoudend water, 6% sinaasappelsap uit geconcentreerd sap, suiker, voedingszuur: citroenzuur/appelzuur, zuurteregelaar: natriumcitraten, natuurlijk aroma, zoetstof: E950/E952/E955, conserveermiddel: kaliumsorbaat, antioxidant: ascorbinezuur, wortelsapconcentraat, stabilisator: guarpitmeel, kleurstof: carotenen.","[{'Energie KJ': '99.0'}, {'Energie KC': '23.0'}, {'Vet': '0.0'}, {'Waarvan verzadigd vet': '0.0'}, {'Waarvan enkelvoudig onverzadigd vet': '0.0'}, {'Waarvan meervoudig onverzadigd vet': '0.0'}, {'Koolhydraten': '5.6'}, {'Waarvan suikers': '5.5'}, {'Polyolen': '0.0'}, {'Zetmeel': '0.0'}, {'Vezels': '0.0'}, {'Eiwitten': '0.0'}, {'Zout': '0.0'}, {'Natrium': '0.0'}, {'Trans': '0.0'}, {'Toegevoegde suikers': '4.9'}]",0.79,"Frisdrank, sappen, koffie, thee > Frisdrank > Sinas, cassis",https://images.ctfassets.net/s0lodsnpsezb/831672_M/0f286e539fc4343dede801bb19724309/831672.png
https://www.plus.nl/product/coca-cola-original-taste-4-pack-set-6000-ml-250646,Coca-Cola Original taste 4-pack,9.65,Ingrediënten: Sprankelend water; suiker; kleurstof: E150d; voedingszuur: E338; natuurlijke aroma's; aroma cafeïne.,"[{'Energie KJ': '180.0'}, {'Energie KC': '42.0'}, {'Vet': '0.0'}, {'Waarvan verzadigd vet': '0.0'}, {'Koolhydraten': '10.6'}, {'Waarvan suikers': '10.6'}, {'Eiwitten': '0.0'}, {'Zout': '0.0'}]",1.61,"Frisdrank, sappen, koffie, thee > Frisdrank > Cola > BBQ assortiment > BBQ dranken > BBQ water, frisdrank, sap",https://images.ctfassets.net/s0lodsnpsezb/250646_M/d39c8af845c69360a5c67f5039d0bea0/250646.png
https://www.plus.nl/product/rivella-original-fles-1500-ml-298886,Rivella Original,2.99,"Ingrediënten: koolzuurhoudend water, MELKserum (26%), voedingszuur (L(+) melkzuur), karamelsuikersiroop, zoetstoffen (cyclaamzuur, acesulfaam-K, sacharine), conserveermiddelen (kaliumsorbaat, natriumbenzoaat), natuurlijke aromas.","[{'Energie KJ': '20.0'}, {'Energie KC': '5.0'}, {'Vet': '0.0'}, {'Waarvan verzadigd vet': '0.0'}, {'Koolhydraten': '1.0'}, {'Waarvan suikers': '1.0'}, {'Eiwitten': '0.0'}, {'Zout': '0.03'}]",1.99,"Frisdrank, sappen, koffie, thee > Frisdrank > Overige frisdrank",https://images.ctfassets.net/s0lodsnpsezb/298886_M/0dc5c4883e422e44733e208fb780fea0/298886.png
https://www.plus.nl/product/plus-cola-fles-1500-ml-831670,PLUS Cola,1.19,"Ingrediënten :Koolzuurhoudend water, suiker, kleurstof: karamel, zoetstof: sucralose, aroma (cafeïne), natuurlijk aroma, voedingszuur: E338.","[{'Energie KJ': '115.0'}, {'Energie KC': '27.0'}, {'Vet': '0.0'}, {'Waarvan verzadigd vet': '0.0'}, {'Waarvan enkelvoudig onverzadigd vet': '0.0'}, {'Waarvan meervoudig onverzadigd vet': '0.0'}, {'Koolhydraten': '6.7'}, {'Waarvan suikers': '6.5'}, {'Polyolen': '0.0'}, {'Zetmeel': '0.0'}, {'Vezels': '0.0'}, {'Eiwitten': '0.0'}, {'Zout': '0.0'}, {'Natrium': '0.0'}, {'Trans': '0.0'}, {'Toegevoegde suikers': '6.5'}]",0.79,"Frisdrank, sappen, koffie, thee > Frisdrank > Cola",https://images.ctfassets.net/s0lodsnpsezb/831670_M/2b31a2385a59e8eeee0c9ad784961460/831670.png
https://www.plus.nl/product/plus-ijsthee-perzik-fairtrade-pak-1500-ml-543884,PLUS IJsthee perzik Fairtrade,1.29,"Ingrediënten :Water, fructosestroop, voedingszuur: citroenzuur, 0,1% perziksap uit concentraat, aroma’s, 0,08% thee-extract, zuurteregelaar: E331, antioxidant: E300, zoetstof: steviolglycosiden uit Stevia.","[{'Energie KJ': '67.0'}, {'Energie KC': '16.0'}, {'Vet': '0.0'}, {'Waarvan verzadigd vet': '0.0'}, {'Waarvan enkelvoudig onverzadigd vet': '0.0'}, {'Waarvan meervoudig onverzadigd vet': '0.0'}, {'Koolhydraten': '3.8'}, {'Waarvan suikers': '3.8'}, {'Polyolen': '0.0'}, {'Zetmeel': '0.0'}, {'Vezels': '0.04'}, {'Eiwitten': '0.02'}, {'Zout': '0.03'}, {'Natrium': '0.012'}, {'Trans': '0.0'}, {'Toegevoegde suikers': '3.8'}]",0.86,"Frisdrank, sappen, koffie, thee > Frisdrank > IJsthee",https://images.ctfassets.net/s0lodsnpsezb/543884_M/ba5ff5b99c8bce8fca0a41d348accc73/543884.png
https://www.plus.nl/product/rivella-original-fles-1000-ml-298920,Rivella Original,2.39,"Ingrediënten: koolzuurhoudend water, MELKserum (26%), voedingszuur (L(+) melkzuur), karamelsuikersiroop, zoetstoffen (cyclaamzuur, acesulfaam-K, sacharine), conserveermiddelen (kaliumsorbaat, natriumbenzoaat), natuurlijke aroma's.","[{'Energie KJ': '20.0'}, {'Energie KC': '5.0'}, {'Vet': '0.0'}, {'Waarvan verzadigd vet': '0.0'}, {'Koolhydraten': '1.0'}, {'Waarvan suikers': '1.0'}, {'Eiwitten': '0.0'}, {'Zout': '0.03'}]",2.39,"Frisdrank, sappen, koffie, thee > Frisdrank > Overige frisdrank",https://images.ctfassets.net/s0lodsnpsezb/298920_M/efe0559ad50a981b6eb1ac55224ccdef/298920.png
